Pickup Location,Dropoff Location,Rate,Truck Type,Moving Type,Date
"Atlanta, GA","Boston, MA","$2,111.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Boston, MA","$2,223.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Boston, MA","$2,443.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Boston, MA","$2,779.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Buffalo, NY","$1,859.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Buffalo, NY","$1,957.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Buffalo, NY","$2,153.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Buffalo, NY","$2,447.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Charlotte, NC",$429.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Charlotte, NC",$452.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Charlotte, NC",$565.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Charlotte, NC",$678.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Chicago, IL","$1,617.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Chicago, IL","$1,701.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Chicago, IL","$1,873.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Chicago, IL","$2,128.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Cincinnati, OH",$524.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Cincinnati, OH",$551.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Cincinnati, OH",$606.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Cincinnati, OH",$689.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Cleveland, OH",$687.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Cleveland, OH",$723.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Cleveland, OH",$797.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Cleveland, OH",$905.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Columbus, OH",$596.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Columbus, OH",$627.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Columbus, OH",$690.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Columbus, OH",$783.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Dallas, TX",$856.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Dallas, TX",$901.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Dallas, TX",$992.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Dallas, TX","$1,127.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Denver, CO","$1,406.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Denver, CO","$1,480.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Denver, CO","$1,850.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Denver, CO","$2,220.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Detroit, MI",$930.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Detroit, MI",$980.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Detroit, MI","$1,078.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Detroit, MI","$1,224.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Fresno, CA","$2,435.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Fresno, CA","$2,565.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Fresno, CA","$2,820.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Fresno, CA","$3,205.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Houston, TX",$913.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Houston, TX",$959.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Houston, TX","$1,057.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Houston, TX","$1,201.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Jacksonville, FL",$391.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Jacksonville, FL",$412.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Jacksonville, FL",$515.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Jacksonville, FL",$617.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Memphis, TN",$589.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Memphis, TN",$620.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Memphis, TN",$775.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Memphis, TN",$930.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Miami, FL",$770.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Miami, FL",$810.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
